airtime,selected_mcs,txgain,pm_power
1.0,23,74,13.056310000000002
0.9,23,74,13.105499999999996
0.8,23,74,12.64807
0.7,23,74,11.71501
0.6,23,74,12.58539
0.5,23,74,12.1378
0.4,23,74,11.8181
0.3,23,74,11.09311
0.2,23,74,10.5192
0.1,23,74,11.17047
0.0,23,74,10.40738
1.0,23,73,13.20597
0.9,23,73,12.72297
0.8,23,73,13.171849999999996
0.7,23,73,11.785499999999995
0.6,23,73,11.89113
0.5,23,73,12.50147
0.4,23,73,11.682000000000002
0.3,23,73,11.52512
0.2,23,73,10.925809999999998
0.1,23,73,10.50844
0.0,23,73,10.531300000000003
1.0,23,72,13.120180000000005
0.9,23,72,12.988790000000002
0.8,23,72,12.85825
0.7,23,72,11.947070000000002
0.6,23,72,12.66332
0.5,23,72,11.327679999999996
0.4,23,72,11.82213
0.3,23,72,11.7246
0.2,23,72,10.50969
0.1,23,72,11.490480000000002
0.0,23,72,10.66923
1.0,23,71,13.18059
0.9,23,71,13.0105
0.8,23,71,12.839660000000002
0.7,23,71,12.24153
0.6,23,71,11.831270000000002
0.5,23,71,12.25852
0.4,23,71,11.804339999999998
0.3,23,71,11.00666
0.2,23,71,10.85617
0.1,23,71,11.053449999999998
0.0,23,71,10.43092
1.0,23,70,13.34785
0.9,23,70,13.20173
0.8,23,70,12.551190000000002
0.7,23,70,11.87026
0.6,23,70,12.21195
0.5,23,70,12.18667
0.4,23,70,11.561839999999997
0.3,23,70,11.57371
0.2,23,70,10.581300000000004
0.1,23,70,10.91565
0.0,23,70,10.73445
1.0,23,69,13.164280000000003
0.9,23,69,13.15085
0.8,23,69,12.538340000000003
0.7,23,69,12.23845
0.6,23,69,12.274310000000003
0.5,23,69,11.450830000000002
0.4,23,69,11.78043
0.3,23,69,11.418359999999998
0.2,23,69,12.23729
0.1,23,69,11.166169999999996
0.0,23,69,10.739319999999996
1.0,23,68,12.99505
0.9,23,68,13.282220000000002
0.8,23,68,12.332859999999997
0.7,23,68,11.87383
0.6,23,68,12.666750000000004
0.5,23,68,12.000039999999998
0.4,23,68,12.02018
0.3,23,68,11.07293
0.2,23,68,10.61609
0.1,23,68,10.98476
0.0,23,68,10.917269999999998
1.0,23,67,12.958720000000003
0.9,23,67,13.131750000000002
0.8,23,67,13.032219999999995
0.7,23,67,12.1437
0.6,23,67,12.021349999999998
0.5,23,67,11.83433
0.4,23,67,11.863839999999998
0.3,23,67,11.1731
0.2,23,67,10.65865
0.1,23,67,10.84083
0.0,23,67,10.46033
1.0,23,66,13.118149999999998
0.9,23,66,12.942009999999998
0.8,23,66,12.871300000000002
0.7,23,66,11.90932
0.6,23,66,12.584130000000002
0.5,23,66,11.44885
0.4,23,66,11.89616
0.3,23,66,11.604899999999995
0.2,23,66,10.56038
0.1,23,66,11.40582
0.0,23,66,10.62865
1.0,23,65,13.34184
0.9,23,65,13.018440000000004
0.8,23,65,13.1062
0.7,23,65,12.02703
0.6,23,65,11.782739999999997
0.5,23,65,12.58782
0.4,23,65,11.887709999999997
0.3,23,65,11.17687
0.2,23,65,10.52052
0.1,23,65,10.59699
0.0,23,65,10.699540000000002
1.0,23,64,13.043189999999996
0.9,23,64,13.113359999999998
0.8,23,64,12.67333
0.7,23,64,12.32797
0.6,23,64,11.844660000000005
0.5,23,64,12.12571
0.4,23,64,11.786930000000002
0.3,23,64,10.84567
0.2,23,64,10.82959
0.1,23,64,10.852220000000004
0.0,23,64,10.596699999999998
1.0,23,63,12.9286
0.9,23,63,13.30136
0.8,23,63,12.322430000000002
0.7,23,63,11.941670000000002
0.6,23,63,12.55062
0.5,23,63,11.762250000000003
0.4,23,63,11.712089999999998
0.3,23,63,11.325899999999995
0.2,23,63,10.64451
0.1,23,63,10.98742
0.0,23,63,10.808600000000002
1.0,23,62,13.22013
0.9,23,62,13.314100000000002
0.8,23,62,12.67297
0.7,23,62,12.091209999999997
0.6,23,62,12.01266
0.5,23,62,11.60808
0.4,23,62,12.073979999999995
0.3,23,62,11.2727
0.2,23,62,10.855709999999998
0.1,23,62,11.007370000000002
0.0,23,62,10.599469999999998
1.0,23,61,12.94916
0.9,23,61,13.13453
0.8,23,61,12.7269
0.7,23,61,12.25543
0.6,23,61,12.168949999999995
0.5,23,61,12.10213
0.4,23,61,11.848159999999998
0.3,23,61,10.9844
0.2,23,61,10.965099999999996
0.1,23,61,11.096050000000002
0.0,23,61,10.51411
1.0,23,60,13.324979999999998
0.9,23,60,12.861660000000002
0.8,23,60,12.52365
0.7,23,60,11.775010000000002
0.6,23,60,12.558269999999998
0.5,23,60,11.513229999999998
0.4,23,60,11.664070000000002
0.3,23,60,11.774540000000002
0.2,23,60,10.43771
0.1,23,60,11.22654
0.0,23,60,10.74223
1.0,23,59,13.20797
0.9,23,59,13.322250000000002
0.8,23,59,12.73716
0.7,23,59,12.18769
0.6,23,59,11.79428
0.5,23,59,12.422220000000005
0.4,23,59,11.758810000000004
0.3,23,59,10.77766
0.2,23,59,10.99548
0.1,23,59,10.79771
0.0,23,59,10.64912
1.0,23,58,13.079929999999996
0.9,23,58,13.265620000000002
0.8,23,58,12.506809999999998
0.7,23,58,12.09856
0.6,23,58,12.389400000000002
0.5,23,58,11.441929999999996
0.4,23,58,11.843960000000004
0.3,23,58,12.517199999999995
0.2,23,58,10.751870000000002
0.1,23,58,11.198280000000002
0.0,23,58,10.60116
1.0,23,57,13.002990000000002
0.9,23,57,13.02371
0.8,23,57,12.91097
0.7,23,57,11.86499
0.6,23,57,12.350400000000004
0.5,23,57,11.84317
0.4,23,57,11.89679
0.3,23,57,11.55032
0.2,23,57,10.70512
0.1,23,57,11.006740000000002
0.0,23,57,10.59373
1.0,23,56,13.225130000000002
0.9,23,56,13.253270000000002
0.8,23,56,12.64481
0.7,23,56,12.0913
0.6,23,56,12.068870000000002
0.5,23,56,11.789690000000002
0.4,23,56,11.88555
0.3,23,56,10.99314
0.2,23,56,10.98627
0.1,23,56,11.36619
0.0,23,56,10.40506
1.0,23,55,13.297
0.9,23,55,12.69627
0.8,23,55,12.98689
0.7,23,55,12.55291
0.6,23,55,12.16655
0.5,23,55,11.92741
0.4,23,55,11.07818
0.3,23,55,11.643770000000002
0.2,23,55,11.392280000000005
0.1,23,55,10.56737
0.0,23,55,10.459809999999996
1.0,23,54,13.12601
0.9,23,54,13.01413
0.8,23,54,12.08953
0.7,23,54,12.117430000000002
0.6,23,54,12.901039999999998
0.5,23,54,11.69396
0.4,23,54,11.743049999999998
0.3,23,54,11.42715
0.2,23,54,10.50585
0.1,23,54,11.26827
0.0,23,54,10.81377
1.0,23,53,12.97284
0.9,23,53,13.153610000000004
0.8,23,53,12.848949999999997
0.7,23,53,12.36875
0.6,23,53,11.946529999999996
0.5,23,53,11.87819
0.4,23,53,11.863199999999996
0.3,23,53,11.20304
0.2,23,53,10.84107
0.1,23,53,10.80488
0.0,23,53,10.711080000000004
1.0,23,52,13.15778
0.9,23,52,13.179999999999998
0.8,23,52,12.14042
0.7,23,52,11.82817
0.6,23,52,12.842680000000003
0.5,23,52,12.04314
0.4,23,52,11.91945
0.3,23,52,11.088019999999998
0.2,23,52,10.57278
0.1,23,52,10.93297
0.0,23,52,10.63216
1.0,23,51,13.184509999999998
0.9,23,51,13.271029999999998
0.8,23,51,12.69519
0.7,23,51,12.13343
0.6,23,51,11.95576
0.5,23,51,12.055880000000002
0.4,23,51,11.86555
0.3,23,51,10.781899999999998
0.2,23,51,11.002150000000002
0.1,23,51,11.11025
0.0,23,51,10.393719999999998
1.0,23,50,13.128630000000005
0.9,23,50,13.198109999999996
0.8,23,50,12.72472
0.7,23,50,11.767690000000002
0.6,23,50,12.50039
0.5,23,50,11.41668
0.4,23,50,11.842700000000002
0.3,23,50,11.96127
0.2,23,50,10.572220000000002
0.1,23,50,11.170870000000004
0.0,23,50,10.60307
1.0,23,49,13.247559999999998
0.9,23,49,12.99875
0.8,23,49,12.84047
0.7,23,49,12.01238
0.6,23,49,12.059229999999998
0.5,23,49,12.378750000000002
0.4,23,49,11.779370000000002
0.3,23,49,10.988070000000002
0.2,23,49,10.68076
0.1,23,49,10.85255
0.0,23,49,10.469250000000002
1.0,23,48,13.046749999999998
0.9,23,48,13.07625
0.8,23,48,12.38733
0.7,23,48,11.858340000000004
0.6,23,48,12.514799999999996
0.5,23,48,11.4717
0.4,23,48,11.85853
0.3,23,48,11.91956
0.2,23,48,10.4781
0.1,23,48,11.259909999999998
0.0,23,48,10.85663
1.0,23,47,13.0188
0.9,23,47,13.19834
0.8,23,47,12.79174
0.7,23,47,12.255069999999998
0.6,23,47,11.866840000000002
0.5,23,47,12.23938
0.4,23,47,11.9206
0.3,23,47,10.832679999999998
0.2,23,47,11.067149999999996
0.1,23,47,10.85747
0.0,23,47,10.628519999999998
1.0,23,46,12.89397
0.9,23,46,13.199519999999998
0.8,23,46,12.596429999999996
0.7,23,46,12.19345
0.6,23,46,12.3746
0.5,23,46,11.615520000000004
0.4,23,46,11.89169
0.3,23,46,11.06342
0.2,23,46,10.9258
